seq_id,start,end,strand,gene_id,gene_name,gene_biotype,gene_class,source,category,length
1,56535,61129,-,ENSGALG00010005414,,protein_coding,CODING,reference,REF,4595
1,67865,69817,-,ENSGALG00010005419,,protein_coding,CODING,reference,REF,1953
1,70300,79479,-,ENSGALG00010007874,,protein_coding,CODING,reference,REF,9180
1,79726,86101,+,ENSGALG00010005420,,protein_coding,CODING,reference,REF,6376
1,130434,335145,-,ENSGALG00010007123,,protein_coding,CODING,reference,REF,204712
1,137726,140009,-,ENSGALG00010007126,,protein_coding,CODING,reference,REF,2284
1,142613,146749,+,ENSGALG00010007137,,protein_coding,CODING,reference,REF,4137
1,163071,167700,-,ENSGALG00010007160,,protein_coding,CODING,reference,REF,4630
1,218643,251034,+,ENSGALG00010007182,,protein_coding,CODING,reference,REF,32392
1,219451,220975,+,ENSGALG00010007165,,protein_coding,CODING,reference,REF,1525
1,248230,292245,+,ENSGALG00010007320,,protein_coding,CODING,reference,REF,44016
1,283928,323551,+,ENSGALG00010007230,,protein_coding,CODING,reference,REF,39624
1,295945,438633,+,ENSGALG00010007339,,protein_coding,CODING,reference,REF,142689
1,302853,433386,-,ENSGALG00010007115,,protein_coding,CODING,reference,REF,130534
1,325396,427848,-,ENSGALG00010007387,,protein_coding,CODING,reference,REF,102453
1,347657,364453,-,ENSGALG00010007398,,protein_coding,CODING,reference,REF,16797
1,364863,372064,+,ENSGALG00010007400,,protein_coding,CODING,reference,REF,7202
1,389282,409349,-,ENSGALG00010007287,,protein_coding,CODING,reference,REF,20068
1,429352,445284,-,ENSGALG00010007369,,protein_coding,CODING,reference,REF,15933
1,446199,451266,-,ENSGALG00010007405,,protein_coding,CODING,reference,REF,5068
1,460818,493919,+,ENSGALG00010007895,,protein_coding,CODING,reference,REF,33102
1,495465,507494,+,ENSGALG00010007408,,protein_coding,CODING,reference,REF,12030
1,508667,510645,-,ENSGALG00010007415,,protein_coding,CODING,reference,REF,1979
1,518639,524104,-,ENSGALG00010007418,,protein_coding,CODING,reference,REF,5466
1,524168,528088,+,ENSGALG00010007419,,protein_coding,CODING,reference,REF,3921
1,529038,531495,-,ENSGALG00010007422,,protein_coding,CODING,reference,REF,2458
1,532310,537908,-,ENSGALG00010007425,,protein_coding,CODING,reference,REF,5599
1,539693,541500,-,ENSGALG00010007427,,protein_coding,CODING,reference,REF,1808
1,572048,841165,+,ENSGALG00010007457,,protein_coding,CODING,reference,REF,269118
1,685314,687814,+,ENSGALG00010007589,,protein_coding,CODING,reference,REF,2501
1,709288,710561,+,ENSGALG00010007591,,protein_coding,CODING,reference,REF,1274
1,915875,917023,+,ENSGALG00010007592,,protein_coding,CODING,reference,REF,1149
1,974689,976229,-,ENSGALG00010006267,,protein_coding,CODING,reference,REF,1541
1,975636,990270,+,ENSGALG00010006271,,protein_coding,CODING,reference,REF,14635
1,994952,1005857,-,ENSGALG00010006288,,protein_coding,CODING,reference,REF,10906
1,1006145,1011082,+,ENSGALG00010006300,,protein_coding,CODING,reference,REF,4938
1,1012031,1031248,-,ENSGALG00010006327,,protein_coding,CODING,reference,REF,19218
1,1038409,1106230,+,ENSGALG00010006347,,protein_coding,CODING,reference,REF,67822
1,1119149,1184682,-,ENSGALG00010006372,,protein_coding,CODING,reference,REF,65534
1,1180836,1183491,+,ENSGALG00010006410,,protein_coding,CODING,reference,REF,2656
1,1183559,1192714,+,ENSGALG00010007888,,protein_coding,CODING,reference,REF,9156
1,1188298,1195071,-,ENSGALG00010006421,,protein_coding,CODING,reference,REF,6774
1,1194787,1204682,+,ENSGALG00010006457,,protein_coding,CODING,reference,REF,9896
1,1198695,1205558,-,ENSGALG00010006463,,protein_coding,CODING,reference,REF,6864
1,1207489,1217633,+,ENSGALG00010005486,,protein_coding,CODING,reference,REF,10145
1,1217871,1235442,-,ENSGALG00010005492,,protein_coding,CODING,reference,REF,17572
1,1217956,1218986,+,ENSGALG00010005496,,protein_coding,CODING,reference,REF,1031
1,1241559,1250136,+,ENSGALG00010005498,,protein_coding,CODING,reference,REF,8578
1,1251070,1295883,+,ENSGALG00010005511,,protein_coding,CODING,reference,REF,44814
1,1296520,1312008,+,ENSGALG00010005524,,protein_coding,CODING,reference,REF,15489
1,1319747,1319947,+,ENSGALG00010007597,,protein_coding,CODING,reference,REF,201
1,1330243,1378306,+,ENSGALG00010005546,,protein_coding,CODING,reference,REF,48064
1,1391671,1435875,-,ENSGALG00010006496,,protein_coding,CODING,reference,REF,44205
1,1436603,1446071,-,ENSGALG00010006528,,protein_coding,CODING,reference,REF,9469
1,1446328,1461719,+,ENSGALG00010006532,,protein_coding,CODING,reference,REF,15392
1,1462130,1468425,-,ENSGALG00010006536,,protein_coding,CODING,reference,REF,6296
1,1471509,1483335,-,ENSGALG00010006548,,protein_coding,CODING,reference,REF,11827
1,1487539,1498010,+,ENSGALG00010006552,,protein_coding,CODING,reference,REF,10472
